GeneID	fed	fed	fed	fed	starved	starved	starved	starved
Ag5r2	49	91	22	102	45	36	71	39
AGBE	179	988	72	793	462	91	313	165
ago	119	405	170	569	190	221	149	22350
AGO1	4881	26732	3170	16657	12937	6050	9226	4983
AGO2	82	240	103	115	131	148	88	133
AGO3	962	507	763	633	1101	2875	320	4271
agt	36	98	4	28	143	147	112	242
Ahcy	259	3110	137	2121	2508	496	1701	2089
AhcyL1	140	867	321	539	316	170	598	294
AhcyL2	37	1	108	11	46	94	33	125
AIF	61	995	146	358	51	39	53	56
AIMP1	24	352	70	238	43	29	9	88
AIMP2	291	1044	193	826	585	187	98	161
AIMP3	155	479	17	473	312	70	191	74
Ak6	31	121	6	33	0	5	16	9
Akap200	371	2217	576	2101	528	352	171	578
Akh	12	0	43	1	2	41	9	41
AkhR	26	315	41	366	175	51	171	140
akirin	434	2292	658	2785	1237	337	1040	483
Akt1	267	1284	263	1397	681	242	214	184
al	66	27	58	25	18	219	10	160
AlaRS	147	835	68	774	198	167	101	79
AlaRS-m	51	203	26	107	96	95	178	120
Alas	274	802	251	910	607	160	485	231
alc	167	1088	243	650	758	357	746	349
Ald	5653	41130	4868	34392	20902	3153	11478	5101
Aldh	370	29284	577	21568	3664	207	2062	1615
Aldh-III	205	1874	355	1963	679	234	762	367
Alg-2	325	1126	116	1218	753	305	662	287
Alg10	13	141	20	45	29	33	58	35
Alh	247	740	237	398	939	1190	706	498
alien	53	136	42	151	169	170	38	59
ALiX	522	2161	503	2533	1288	303	671	938
Alk	1495	4240	1262	5814	5159	2943	3592	3441
AlkB	13	78	7	50	49	7	45	15
Alp1	34	2	37	4	60	18	4	116
Alp2	4	0	14	1	6	26	1	13
Alp4	241	1277	315	585	204	201	41	490
alph	144	213	218	415	308	443	106	499
alpha-Cat	377	2180	352	1682	1731	905	756	637
alpha-catenin-related	105	248	50	186	56	216	143	140
alpha-Est1	66	827	163	912	527	101	190	199
alpha-Est10	124	379	60	186	23	99	6	221
alpha-Est2	40	72	21	58	15	195	1	33
alpha-Est3	3	0	1	0	1	52	0	0
alpha-Est4	22	1	23	1	5	11	19	10
alpha-Est5	91	594	27	165	169	98	105	80
alpha-Est6	29	3	30	0	22	61	4	147
alpha-Est7	88	2562	94	1879	681	167	383	214
alpha-Est8	132	847	178	868	169	334	81	101
alpha-Est9	216	1869	295	708	407	507	240	295
alpha-Man-Ia	2343	6122	1169	5247	2376	2811	2850	1400
alpha-Man-Ib	158	679	86	466	512	355	608	100
alpha-Man-Ic	4	0	13	1	58	11	2	220
alpha-Man-IIa	91	242	32	438	171	285	134	146
alpha-Man-IIb	337	13	232	10	109	157	26	236
alpha-PheRS	31	504	28	286	177	25	185	174
alpha-Spec	1828	4384	1531	5780	3770	1433	2588	17293
alpha4GT1	54	228	28	88	96	63	102	79
alpha4GT2	19	127	56	113	41	116	30	103
alphaCOP	333	2769	530	2257	1050	504	915	305
alphagamma-element:CR32865	10	45	6	34	40	45	128	21
alphaKap4	6	1	8	1	2	20	0	67
alphaSnap	3334	12341	2155	10598	7655	3328	7036	3140
