GeneID	fed	fed	fed	fed	starved	starved	starved	starved
AIF	26	15	17	13	11	28	16	18
AIMP1	5	22	12	14	4	11	2	16
AIMP2	19	28	19	25	20	36	4	15
AIMP3	18	25	8	18	24	22	11	18
Ak6	4	5	6	1	0	5	1	5
Akap200	60	92	59	93	39	79	17	46
Akh	4	0	3	1	2	5	1	11
AkhR	13	29	18	37	32	34	13	32
akirin	63	84	67	93	52	67	58	48
Akt1	32	68	46	61	35	76	22	39
al	24	22	18	18	14	52	9	33
AlaRS	19	28	19	25	12	29	8	26
AlaRS-m	16	14	14	7	22	53	8	25
Alas	44	36	33	34	38	41	32	35
alc	25	55	36	41	48	47	57	38
Ald	192	198	144	191	177	141	165	147
Aldh	100	194	80	162	113	72	86	92
Aldh-III	58	77	46	75	44	81	33	55
Alg-2	44	51	22	48	32	34	28	27
Alg10	9	7	11	5	4	26	5	12
Alh	68	88	60	69	98	113	84	59
alien	24	18	20	18	22	25	6	20
ALiX	41	43	32	48	36	46	15	56
Alk	123	132	96	119	134	154	106	121
AlkB	8	7	7	4	3	7	3	10
Alp1	10	2	19	4	3	13	4	16
Alp2	4	0	11	1	5	16	1	11
Alp4	39	28	40	20	17	36	6	28
alph	35	30	53	21	39	109	25	37
alpha-Cat	64	108	55	76	72	110	47	58
alpha-catenin-related	20	17	24	14	14	46	12	15
alpha-Est1	30	45	34	36	26	33	14	30
alpha-Est10	31	20	29	15	19	50	5	27
alpha-Est2	24	18	14	19	12	73	1	21
alpha-Est3	3	0	1	0	1	25	0	0
alpha-Est4	18	1	14	1	4	10	2	9
alpha-Est5	20	30	15	15	17	35	6	19
alpha-Est6	18	3	19	0	19	44	4	23
alpha-Est7	28	104	30	110	51	64	36	42
alpha-Est8	35	53	35	45	25	105	8	35
alpha-Est9	54	45	41	35	40	87	21	46
alpha-Man-Ia	133	116	112	124	108	136	138	108
alpha-Man-Ib	21	35	34	30	23	47	26	22
alpha-Man-Ic	4	0	8	1	8	11	2	14
